governance_mode,coop,ecs,autonomy,integrity,fairness,backlash
governed,0.2775,0.1771398511904762,0.718375,1.0,0.895238095238095,0.32
unconstrained,0.25649999999999995,0.0,0.835375,0.0,0.9166666666666667,0.43249999999999994
