idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.47835800726903,0.0,0.22158773377788787,0.10659596189719811,745.0,50,1,6,7
1,idealist,0.388040468491216,0.1,0.0,0.35066154237800884,543.0,0,0,11,6
2,skeptic,0.7199561074081353,-0.12,0.6716248808055842,0.43611717256885074,354.0,10,0,16,5
3,conformist,0.40118657446982636,0.0,0.2660709880091492,0.3757724706982361,408.0,0,0,10,5
4,strategist,0.4921816004696474,-0.05,0.21692657453639214,0.3132191091005365,578.0,0,0,9,6
5,opportunist,0.5966351176689053,-0.15,0.35341651800112717,0.37343689818458753,544.0,0,0,13,6
6,pragmatist,0.40067641439130564,0.0,0.18117798669616525,0.21974544570460633,553.0,0,0,9,6
7,idealist,0.5182437106861283,0.1,0.28512029224239177,0.3666586345804655,535.0,0,0,10,6
8,skeptic,0.5317933070947023,-0.12,0.40892214501940444,0.3195690833231923,541.0,0,0,9,6
9,conformist,0.4690241770667805,0.0,0.016158893485531456,0.26191517494250244,496.0,0,0,10,6
10,strategist,0.5762197458555215,-0.05,0.3282052630471029,0.38859462477235845,473.0,0,0,14,6
11,opportunist,0.4995856512202989,-0.15,0.46157558694553946,0.13000297984430456,705.0,50,0,6,7
12,pragmatist,0.2983863749769999,0.0,0.41747714942161157,0.19803749663663114,640.0,0,0,3,6
13,idealist,0.7585054227513552,0.1,0.054233624514671216,0.5264605828910278,370.0,0,0,25,6
14,skeptic,0.19058827992682778,-0.12,0.274275287920352,0.06647881131339542,620.0,0,0,3,6
15,conformist,0.5762188340181,0.0,0.16930734862111027,0.3119103457892682,438.0,0,0,19,6
16,strategist,0.6117513661108948,-0.05,0.40836463084612484,0.3881701073122834,600.0,50,5,11,7
17,opportunist,0.4815857718562921,-0.15,0.44260572178755564,0.25320051509420644,528.0,0,0,9,6
18,pragmatist,0.4245359253415297,0.0,0.43026903168172653,0.0543712713836754,625.0,50,1,7,7
19,idealist,0.2805426057328868,0.1,0.23672117607325255,0.33666917326981527,441.0,10,10,13,6
20,skeptic,0.4864408279648103,-0.12,0.7702131287673999,0.3851812149760193,450.0,0,0,15,6
21,conformist,0.3353303826419401,0.0,0.0,0.2028634713581071,477.0,0,0,8,6
22,strategist,0.36550692022439435,-0.05,0.4453908301707244,0.1252175071471093,468.0,0,0,9,6
23,opportunist,0.4147491739662261,-0.15,0.5986520528855436,0.0674080817170418,534.0,0,0,7,6
24,pragmatist,0.16912057235909644,0.0,0.46927847128507166,0.049871941812939836,572.0,0,0,3,6
25,idealist,0.6052299359894309,0.1,0.08720014652977727,0.5764610340183419,337.0,0,0,18,5
26,skeptic,0.47303728298039366,-0.12,0.6823636452791804,0.1729521803594733,646.0,40,0,8,7
27,conformist,0.4631878563464284,0.0,0.299955213322767,0.2239308095810613,458.0,40,28,15,6
28,strategist,0.8062330369975715,-0.05,0.34108983818884947,0.2768205533293186,333.0,0,0,16,5
29,opportunist,0.40794265290855936,-0.15,0.2843421760270704,0.11033522372940736,510.0,0,0,4,5
