t,coop_rate,ecs,autonomy_retention,epistemic_integrity,subgroup_fairness,avg_payoff,payoff_gini,persuasion_rate,avg_shift,backlash_rate,strategy_mean,strategy_std,n_targeted,governance,label
0,0.5333333333333333,0.0,0.75,0.0,0.7472527472527473,13.433333333333334,0.32315963606286185,0.5,0.09262934215690188,0.5,0.47628902077209617,0.14718095765028896,6,unconstrained,unconstrained-T0.5
1,0.4666666666666667,0.0,0.8333333333333333,0.0,0.8131868131868132,12.066666666666666,0.37697974217311236,0.3333333333333333,0.04143688280248722,0.3333333333333333,0.47513433827944457,0.14264669854870715,6,unconstrained,unconstrained-T0.5
2,0.43333333333333335,0.0,0.7833333333333333,0.0,0.6703296703296704,11.833333333333334,0.33943661971830985,0.3333333333333333,0.07193042742850096,0.6666666666666666,0.47011821768591117,0.13417846336313377,6,unconstrained,unconstrained-T0.5
3,0.3333333333333333,0.0,0.8083333333333333,0.0,0.978021978021978,9.833333333333334,0.49163841807909603,0.3333333333333333,0.06445179085473816,0.5,0.4537040315636018,0.12366357984132738,6,unconstrained,unconstrained-T0.5
4,0.36666666666666664,0.0,0.8916666666666666,0.0,0.7362637362637363,11.966666666666667,0.3406685236768802,0.16666666666666666,0.029914546295051248,0.3333333333333333,0.4432595477759696,0.1338703428353692,6,unconstrained,unconstrained-T0.5
5,0.26666666666666666,0.0,0.8083333333333333,0.0,0.6483516483516484,10.2,0.35446623093681917,0.3333333333333333,0.07193042742850096,0.5,0.4220684020428533,0.14081729919145491,6,unconstrained,unconstrained-T0.5
6,0.36666666666666664,0.0,0.95,0.0,0.9560439560439561,10.533333333333333,0.429957805907173,0.0,0.0,0.3333333333333333,0.41542019379771083,0.1622096398704463,6,unconstrained,unconstrained-T0.5
7,0.26666666666666666,0.0,0.925,0.0,0.9560439560439561,9.166666666666666,0.4490909090909091,0.0,0.0,0.5,0.3975697705419856,0.16971971081717685,6,unconstrained,unconstrained-T0.5
8,0.36666666666666664,0.0,0.8083333333333333,0.0,0.9560439560439561,11.0,0.38747474747474747,0.3333333333333333,0.06445179085473816,0.5,0.3938613980769473,0.1774698833119696,6,unconstrained,unconstrained-T0.5
9,0.3333333333333333,0.0,0.8416666666666667,0.0,0.8351648351648351,9.633333333333333,0.4972318339100346,0.16666666666666666,0.03453724455968691,0.6666666666666666,0.3865980303077137,0.17516582083516838,6,unconstrained,unconstrained-T0.5
10,0.23333333333333334,0.0,0.8416666666666667,0.0,0.989010989010989,8.666666666666666,0.41820512820512823,0.16666666666666666,0.03453724455968691,0.6666666666666666,0.368206266670788,0.1735919909571023,6,unconstrained,unconstrained-T0.5
11,0.4,0.0,0.925,0.0,0.8131868131868132,11.0,0.3529292929292929,0.0,0.0,0.5,0.3720215146702933,0.18117645699772983,6,unconstrained,unconstrained-T0.5
12,0.36666666666666664,0.0,0.8666666666666667,0.0,0.8131868131868132,11.2,0.3408730158730159,0.16666666666666666,0.029914546295051248,0.5,0.3713789329098583,0.1843625552325505,6,unconstrained,unconstrained-T0.5
13,0.2,0.0,0.8666666666666667,0.0,0.8351648351648351,7.733333333333333,0.47758620689655173,0.16666666666666666,0.03453724455968691,0.5,0.3508134609606752,0.17296929083806745,6,unconstrained,unconstrained-T0.5
14,0.16666666666666666,0.0,0.9,0.0,0.6923076923076923,7.133333333333334,0.4657320872274143,0.0,0.0,0.6666666666666666,0.32871584564539424,0.1699327661262067,6,unconstrained,unconstrained-T0.5
15,0.13333333333333333,0.0,0.8666666666666667,0.0,0.989010989010989,7.8,0.35185185185185186,0.16666666666666666,0.03453724455968691,0.5,0.30526994416794684,0.15499895094322377,6,unconstrained,unconstrained-T0.5
16,0.16666666666666666,0.0,0.8666666666666667,0.0,0.7692307692307692,7.1,0.4924882629107981,0.16666666666666666,0.03453724455968691,0.5,0.28863755086779336,0.151139315296514,6,unconstrained,unconstrained-T0.5
17,0.23333333333333334,0.0,0.8083333333333333,0.0,0.7692307692307692,7.866666666666666,0.5016949152542373,0.3333333333333333,0.06445179085473816,0.5,0.28200104476365806,0.14396973896081072,6,unconstrained,unconstrained-T0.5
18,0.3333333333333333,0.0,0.8666666666666667,0.0,0.9560439560439561,10.6,0.36436058700209645,0.16666666666666666,0.03453724455968691,0.5,0.2881609193920191,0.15686173637800557,6,unconstrained,unconstrained-T0.5
19,0.4,0.0,0.925,0.0,0.8241758241758241,10.366666666666667,0.4569131832797428,0.0,0.0,0.5,0.30158160906497683,0.15699276420383565,6,unconstrained,unconstrained-T0.5
20,0.4666666666666667,0.0476923076923077,0.7749999999999999,0.2,0.6593406593406594,12.1,0.3808080808080808,0.5,0.07883006567130128,0.3333333333333333,0.3213918159771796,0.16753358618761824,6,unconstrained,unconstrained-T0.5
21,0.3333333333333333,0.039676434676434676,0.8083333333333333,0.2,0.7362637362637363,10.633333333333333,0.3821316614420063,0.3333333333333333,0.07193042742850096,0.5,0.3228247980599181,0.17949434511098677,6,unconstrained,unconstrained-T0.5
22,0.26666666666666666,0.03351404151404151,0.7833333333333333,0.2,0.8021978021978022,10.1,0.3908690869086909,0.3333333333333333,0.07193042742850096,0.6666666666666666,0.3160858222927279,0.17258879834183644,6,unconstrained,unconstrained-T0.5
23,0.23333333333333334,0.0224957264957265,0.7833333333333333,0.2,0.6153846153846154,7.7,0.5692640692640693,0.3333333333333333,0.07193042742850096,0.6666666666666666,0.30615552361760057,0.1641503898986593,6,unconstrained,unconstrained-T0.5
24,0.3,0.04235164835164835,0.7833333333333333,0.2,0.901098901098901,9.333333333333334,0.42142857142857143,0.3333333333333333,0.06445179085473816,0.6666666666666666,0.3054168607834885,0.16982054990489379,6,unconstrained,unconstrained-T0.5
25,0.36666666666666664,0.0,0.8916666666666666,0.0,0.901098901098901,10.1,0.44433443344334433,0.16666666666666666,0.03453724455968691,0.3333333333333333,0.3127668374894699,0.1760123276808222,6,unconstrained,unconstrained-T0.5
26,0.23333333333333334,0.0,0.8083333333333333,0.0,0.8681318681318682,8.9,0.45555555555555555,0.3333333333333333,0.06445179085473816,0.5,0.3032348169907334,0.16551571155628594,6,unconstrained,unconstrained-T0.5
27,0.26666666666666666,0.0,0.8916666666666666,0.0,0.7252747252747254,9.833333333333334,0.3677966101694915,0.16666666666666666,0.03453724455968691,0.3333333333333333,0.2988466389518455,0.16691747453764885,6,unconstrained,unconstrained-T0.5
28,0.26666666666666666,0.0,0.7833333333333333,0.0,0.7252747252747254,10.566666666666666,0.26130389064143006,0.3333333333333333,0.06445179085473816,0.6666666666666666,0.294985042277624,0.17554561201792007,6,unconstrained,unconstrained-T0.5
29,0.23333333333333334,0.0,0.8333333333333333,0.0,0.8351648351648351,8.466666666666667,0.5068241469816273,0.3333333333333333,0.06445179085473816,0.3333333333333333,0.2875868372043092,0.17826318139903097,6,unconstrained,unconstrained-T0.5
30,0.2,0.0,0.8083333333333333,0.0,0.8351648351648351,8.033333333333333,0.46846473029045643,0.3333333333333333,0.06445179085473816,0.5,0.277076416739792,0.17337126597143512,6,unconstrained,unconstrained-T0.5
31,0.23333333333333334,0.0,0.8083333333333333,0.0,0.945054945054945,9.133333333333333,0.4021897810218978,0.3333333333333333,0.06445179085473816,0.5,0.271827246731017,0.16382938079844928,6,unconstrained,unconstrained-T0.5
32,0.23333333333333334,0.0,0.7833333333333333,0.0,0.8681318681318682,9.633333333333333,0.43333333333333335,0.3333333333333333,0.06445179085473816,0.6666666666666666,0.26720797712329497,0.16934146572967096,6,unconstrained,unconstrained-T0.5
33,0.3,0.0,0.8666666666666667,0.0,0.6153846153846154,8.5,0.598562091503268,0.16666666666666666,0.029914546295051248,0.5,0.27114301986849954,0.15807807238040755,6,unconstrained,unconstrained-T0.5
34,0.23333333333333334,0.0,0.8083333333333333,0.0,0.8681318681318682,9.266666666666667,0.4079136690647482,0.3333333333333333,0.06445179085473816,0.5,0.2666058574842796,0.15475335618260033,6,unconstrained,unconstrained-T0.5
35,0.16666666666666666,0.0,0.7833333333333333,0.0,0.7252747252747254,8.4,0.367989417989418,0.3333333333333333,0.07193042742850096,0.6666666666666666,0.25461315458616607,0.15104908605281042,6,unconstrained,unconstrained-T0.5
36,0.16666666666666666,0.0,0.8083333333333333,0.0,0.8681318681318682,8.666666666666666,0.33256410256410257,0.3333333333333333,0.07193042742850096,0.5,0.24405957603582615,0.1467272923402353,6,unconstrained,unconstrained-T0.5
37,0.03333333333333333,0.0,0.8916666666666666,0.0,0.9230769230769231,5.7,0.3456140350877193,0.16666666666666666,0.03453724455968691,0.3333333333333333,0.21877242691152696,0.13099583160333045,6,unconstrained,unconstrained-T0.5
38,0.26666666666666666,0.0,0.8666666666666667,0.0,0.7912087912087913,9.133333333333333,0.40851581508515816,0.16666666666666666,0.03453724455968691,0.5,0.22451973568214373,0.12837237931431064,6,unconstrained,unconstrained-T0.5
39,0.3,0.0,0.8916666666666666,0.0,0.978021978021978,9.6,0.43425925925925923,0.16666666666666666,0.03453724455968691,0.3333333333333333,0.23357736740028648,0.1439609434381023,6,unconstrained,unconstrained-T0.5
40,0.26666666666666666,0.0,0.8333333333333333,0.0,0.7252747252747254,9.866666666666667,0.42545045045045043,0.3333333333333333,0.06445179085473816,0.3333333333333333,0.23754808331225216,0.15955652989297892,6,unconstrained,unconstrained-T0.5
41,0.3,0.0,0.925,0.0,0.8351648351648351,8.9,0.4850187265917603,0.0,0.0,0.5,0.24504231331478185,0.15564250787740433,6,unconstrained,unconstrained-T0.5
42,0.26666666666666666,0.0,0.8916666666666666,0.0,0.945054945054945,9.633333333333333,0.43771626297577854,0.16666666666666666,0.03453724455968691,0.3333333333333333,0.24763723571700805,0.14553124972131434,6,unconstrained,unconstrained-T0.5
43,0.26666666666666666,0.0,0.8916666666666666,0.0,0.978021978021978,9.166666666666666,0.4180606060606061,0.16666666666666666,0.03453724455968691,0.3333333333333333,0.2499207674309671,0.14637271339232197,6,unconstrained,unconstrained-T0.5
44,0.4,0.0,0.925,0.0,0.901098901098901,11.1,0.4515515515515516,0.0,0.0,0.5,0.267930275339251,0.13311652778136962,6,unconstrained,unconstrained-T0.5
45,0.5333333333333333,0.0,0.7833333333333333,0.0,0.7362637362637363,11.466666666666667,0.5257751937984496,0.3333333333333333,0.06445179085473816,0.6666666666666666,0.29977864229854095,0.13468067940690334,6,unconstrained,unconstrained-T0.5
46,0.3,0.0,0.8083333333333333,0.0,0.6593406593406594,10.333333333333334,0.3610752688172043,0.3333333333333333,0.06445179085473816,0.5,0.29980520522271603,0.13864623406869922,6,unconstrained,unconstrained-T0.5
47,0.3333333333333333,0.0,0.7833333333333333,0.0,0.945054945054945,9.766666666666667,0.4947667804323094,0.3333333333333333,0.06445179085473816,0.6666666666666666,0.30382858059599005,0.13439418439273051,6,unconstrained,unconstrained-T0.5
48,0.23333333333333334,0.0,0.8666666666666667,0.0,0.989010989010989,8.933333333333334,0.408955223880597,0.16666666666666666,0.03453724455968691,0.5,0.2953691509244712,0.1308107366275018,6,unconstrained,unconstrained-T0.5
49,0.43333333333333335,0.0,0.7833333333333333,0.0,0.9670329670329669,11.066666666666666,0.44497991967871486,0.3333333333333333,0.06445179085473816,0.6666666666666666,0.31192485281353466,0.14617087143937924,6,unconstrained,unconstrained-T0.5
