label,governance,adversarial,topo,seed,n_agents,coop_final,ecs_final,autonomy_final,integrity_final,fairness_final,backlash_rate_final,rejection_rate,param_name,param_value,is_baseline
sa_target_frac_0.1,governed,True,scale_free,42,30,0.27999999999999997,0.16922741147741144,0.7525000000000001,1.0,0.8175824175824176,0.4833333333333334,0.4166666666666667,target_frac,0.1,False
sa_target_frac_0.15,governed,True,scale_free,42,30,0.3,0.16439285714285715,0.6962499999999999,1.0,0.7939560439560439,0.1875,0.4166666666666667,target_frac,0.15,False
sa_target_frac_0.2,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,target_frac,0.2,True
sa_target_frac_0.25,governed,True,scale_free,42,30,0.3066666666666666,0.16717229199372055,0.6867857142857143,1.0,0.7851648351648353,0.1714285714285714,0.4166666666666667,target_frac,0.25,False
sa_target_frac_0.3,governed,True,scale_free,42,30,0.2883333333333333,0.1738750508750509,0.7200000000000001,1.0,0.841758241758242,0.3111111111111111,0.4166666666666667,target_frac,0.3,False
sa_deploy_every_3,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.3431372549019608,deploy_every,3.0,False
sa_deploy_every_5,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,deploy_every,5.0,True
sa_deploy_every_7,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.375,deploy_every,7.0,False
sa_deploy_every_10,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.36666666666666664,deploy_every,10.0,False
sa_state_noise_0.05,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,state_noise,0.05,False
sa_state_noise_0.1,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,state_noise,0.1,True
sa_state_noise_0.15,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,state_noise,0.15,False
sa_state_noise_0.2,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,state_noise,0.2,False
sa_base_prosocial_0.3,governed,True,scale_free,42,30,0.1766666666666667,0.10493360805860807,0.7479166666666667,1.0,0.815934065934066,0.41666666666666663,0.4166666666666667,base_prosocial,0.3,False
sa_base_prosocial_0.4,governed,True,scale_free,42,30,0.25333333333333335,0.15202579365079366,0.7241666666666667,1.0,0.8197802197802198,0.2833333333333333,0.4166666666666667,base_prosocial,0.4,False
sa_base_prosocial_0.45,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,base_prosocial,0.45,True
sa_base_prosocial_0.55,governed,True,scale_free,42,30,0.4033333333333333,0.2034909951159951,0.6858333333333333,1.0,0.7384615384615386,0.14999999999999997,0.4166666666666667,base_prosocial,0.55,False
sa_base_prosocial_0.65,governed,True,scale_free,42,30,0.5383333333333333,0.26277930402930405,0.6683333333333334,1.0,0.7214285714285715,0.09166666666666665,0.4166666666666667,base_prosocial,0.65,False
sa_n_candidates_4,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.25,n_candidates,4.0,False
sa_n_candidates_6,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.4166666666666667,n_candidates,6.0,True
sa_n_candidates_8,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.3125,n_candidates,8.0,False
sa_n_candidates_10,governed,True,scale_free,42,30,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.21666666666666665,0.25,n_candidates,10.0,False
