idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.5018376288097179,0.0,0.4232427215251737,0.45242376062234885,1750.0,50,0,9,20
1,idealist,0.4995655614275081,0.1,0.10452641525934586,0.4646181485636414,537.0,40,32,13,7
2,skeptic,0.5858033800009677,-0.12,0.5669561858546017,0.47963740495171364,308.0,0,0,11,4
3,conformist,0.36945701469595726,0.0,0.23716771562945296,0.34700582542406344,89.0,0,0,9,1
4,strategist,0.5046858594279113,-0.05,0.34411987449832887,0.16509653234506472,1144.0,50,5,7,11
5,opportunist,0.4542633361973695,-0.15,0.48200694799186705,0.11200417417680052,724.0,40,0,8,8
6,pragmatist,0.33953188694974995,0.0,0.27556350780104205,0.11704492198360568,671.0,50,0,3,7
7,idealist,0.37768210309800326,0.1,0.38982693189519413,0.2616029960485098,568.0,10,10,12,7
8,skeptic,0.45595831612224885,-0.12,0.45613148735523673,0.07735327874580605,687.0,10,0,6,7
9,conformist,0.3327137306464737,0.0,0.11142116390716941,0.26923994028946957,456.0,0,0,12,6
10,strategist,0.45122132707775153,-0.05,0.25865956420509445,0.027088206192120205,339.0,0,0,6,4
11,opportunist,0.6441095721597311,-0.15,0.5510086472958692,0.35259565579454755,342.0,0,0,11,4
12,pragmatist,0.1,0.0,0.01664801310484909,0.0830574209383913,428.0,0,0,3,4
13,idealist,0.4237841861917257,0.1,0.23667143826354695,0.49727052057751336,649.0,50,47,21,10
14,skeptic,0.48204644962479165,-0.12,0.5325982896533845,0.25390709093853453,629.0,0,0,7,6
15,conformist,0.7676758132576572,0.0,0.0,0.5756698853516493,275.0,0,0,17,4
16,strategist,0.3933592489309503,-0.05,0.6064157411238495,0.27782276784990223,361.0,0,0,6,4
17,opportunist,0.5470054494302771,-0.15,0.4994595058564393,0.18469860272896457,241.0,0,0,9,3
18,pragmatist,0.3728990442468806,0.0,0.05278872437165209,0.5045711172666556,406.0,0,0,10,5
19,idealist,0.47511971163341116,0.1,0.31635211317323214,0.40006355013316147,286.0,0,0,14,4
20,skeptic,0.2658971918633139,-0.12,0.3975160007329157,0.08607530129246194,558.0,0,0,1,5
21,conformist,0.4391934480409159,0.0,0.008287256540883386,0.3714389500548036,572.0,0,0,9,6
22,strategist,0.4352595048221674,-0.05,0.31432245412041815,0.3539128655945703,272.0,0,0,9,3
23,opportunist,0.45533793555832286,-0.15,0.32405625125285276,0.2426809402471605,341.0,0,0,6,3
24,pragmatist,0.5390622107678734,0.0,0.4336750431423492,0.29315262618157606,420.0,0,0,9,4
25,idealist,0.49812724568498457,0.1,0.17726546589145395,0.5188646353138804,234.0,0,0,13,3
26,skeptic,0.5597478425678162,-0.12,0.42478399722994215,0.5035758438879643,250.0,0,0,19,3
27,conformist,0.5818740927431978,0.0,0.0,0.2867094728696847,300.0,0,0,14,3
28,strategist,0.5871700804693172,-0.05,0.29699048180767795,0.47818494713744525,294.0,0,0,11,3
29,opportunist,0.2626876664498377,-0.15,0.3529150792049728,0.10780881337200895,292.0,0,0,5,3
