label,governance,adversarial,coop_final,ecs_final,autonomy_final,integrity_final,fairness_final,avg_shift_final,backlash_rate_final,rejection_rate
governed-adversarial,governed,True,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.1014789188949496,0.21666666666666665,0.4166666666666667
naive-adversarial,naive,True,0.2816666666666666,0.17423962148962147,0.7558333333333334,1.0,0.8252747252747253,0.07151719755032251,0.5,0.4166666666666667
unconstrained-adversarial,unconstrained,True,0.2733333333333333,0.0,0.8495833333333334,0.0,0.843956043956044,0.04627192816447563,0.4583333333333332,0.0
governed-adversarial,governed,True,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.1014789188949496,0.21666666666666665,0.4166666666666667
governed-benign,governed,False,0.30666666666666664,0.1721916971916972,0.69625,1.0,0.8104395604395604,0.1014789188949496,0.21666666666666665,0.05
