topo,seed,ecs_gap
scale_free,0,0.17535482804232802
scale_free,1,0.17713888888888887
scale_free,2,0.15007253086419756
small_world,0,0.16525666666666666
small_world,1,0.18537284334023468
small_world,2,0.1588584444444444
erdos_renyi,0,0.17189374999999998
erdos_renyi,1,0.16074444444444444
erdos_renyi,2,0.147808024691358
