label,governance,adversarial,topo,seed,n_agents,coop_final,ecs_final,autonomy_final,integrity_final,fairness_final,backlash_rate_final,rejection_rate,condition,agent_temp
governed-T0.0,governed,True,scale_free,42,30,0.30999999999999994,0.1735436507936508,0.6920833333333334,1.0,0.8038461538461539,0.16666666666666666,0.4166666666666667,governed,0.0
unconstrained-T0.0,unconstrained,True,scale_free,42,30,0.26999999999999996,0.0,0.8641666666666667,0.0,0.8472527472527472,0.4583333333333333,0.0,unconstrained,0.0
governed-T0.2,governed,True,scale_free,42,30,0.31166666666666665,0.17357081807081803,0.6941666666666667,1.0,0.7967032967032968,0.19166666666666662,0.4166666666666667,governed,0.2
unconstrained-T0.2,unconstrained,True,scale_free,42,30,0.27166666666666667,0.0,0.8320833333333335,0.0,0.8483516483516483,0.575,0.0,unconstrained,0.2
governed-T0.5,governed,True,scale_free,42,30,0.3133333333333333,0.1745141941391941,0.6895833333333333,1.0,0.8038461538461539,0.1833333333333333,0.4166666666666667,governed,0.5
unconstrained-T0.5,unconstrained,True,scale_free,42,30,0.2733333333333333,0.0,0.8404166666666667,0.0,0.8549450549450549,0.4999999999999999,0.0,unconstrained,0.5
governed-T0.8,governed,True,scale_free,42,30,0.29833333333333334,0.17007677045177044,0.7016666666666668,1.0,0.8126373626373626,0.19999999999999996,0.4166666666666667,governed,0.8
unconstrained-T0.8,unconstrained,True,scale_free,42,30,0.27499999999999997,0.0,0.8470833333333333,0.0,0.8412087912087912,0.5333333333333333,0.0,unconstrained,0.8
