metric,governed_mean,governed_lo95,governed_hi95,naive_mean,naive_lo95,naive_hi95,unconstrained_mean,unconstrained_lo95,unconstrained_hi95
coop_final,0.27486540000000004,0.24133333333333332,0.30233333333333334,0.2685610666666666,0.2373333333333333,0.29533333333333334,0.2568997333333333,0.22766666666666663,0.28733333333333333
ecs_final,0.16318104224081476,0.14958642144892145,0.17421579485329483,0.16716383166871707,0.1555321098269015,0.17963186728395059,0.010910643829059827,0.0,0.02836565052231719
autonomy_final,0.7246895000000001,0.6895833333333334,0.761,0.7578596333333333,0.7223333333333333,0.8011666666666667,0.84210255,0.8213333333333332,0.8623333333333333
integrity_final,1.0,1.0,1.0,1.0,1.0,1.0,0.070752,0.0,0.19
fairness_final,0.8247109876789877,0.8147008547008546,0.833564491064491,0.8258373407703405,0.8071428571428573,0.8406110556110555,0.8159391282883782,0.779198717948718,0.8531734931734931
backlash_rate_final,0.309198,0.17166666666666663,0.44499999999999995,0.425155,0.2866666666666666,0.5866666666666667,0.6046239999999999,0.5049999999999999,0.7116666666666667
